individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,weight,wealth_with_equity,sequence_number,relation_to_rp,year
5003,2001,1448.0,41.0,0.0,38.0,1.0,2.0,5.0,1.0,2.0,1.0,8.0,1.0,1.0,50.0,500.0,79200.0,104000.0,22.22,154000.0,1,10,2001
5003,2003,4965.0,41.0,0.0,41.0,1.0,0.0,5.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,350.0,63500.0,86000.0,23.444000000000003,104000.0,1,10,2003
5003,2005,624.0,41.0,1.0,42.0,1.0,0.0,5.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,150.0,44000.0,57000.0,23.473000000000003,129000.0,1,10,2005
5003,2007,5570.0,41.0,1.0,45.0,1.0,0.0,5.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,100.0,34600.0,50000.0,25.066,132000.0,1,10,2007
5003,2009,163.0,41.0,0.0,46.0,1.0,0.0,5.0,1.0,3.0,1.0,8.0,1.0,1.0,25.0,125.0,43000.0,107000.0,25.066,239000.0,1,10,2009
5003,2011,5882.0,41.0,1.0,49.0,1.0,0.0,5.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,84300.0,91000.0,27.274,211700.0,1,10,2011
5003,2013,7139.0,41.0,0.0,51.0,1.0,0.0,5.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,77513.0,77000.0,27.274,252000.0,1,10,2013
5003,2015,1616.0,41.0,0.0,52.0,1.0,0.0,5.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,89363.0,60000.0,30.826999999999998,185000.0,1,10,2015
5003,2017,8276.0,41.0,0.0,55.0,1.0,0.0,5.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,91000.0,283000.0,30.826999999999998,483000.0,1,10,2017
5003,2019,9326.0,41.0,1.0,57.0,1.0,0.0,5.0,1.0,2.0,1.0,15.0,1.0,5.0,0.0,300.0,67000.0,124000.0,34.749,324000.0,1,10,2019
5003,2021,8920.0,41.0,0.0,58.0,1.0,0.0,5.0,1.0,3.0,1.0,15.0,5.0,0.0,0.0,0.0,62000.0,13000.0,34.989000000000004,213000.0,1,10,2021
6006,2001,6438.0,26.0,1.0,46.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,250.0,5000.0,168000.0,632500.0,21.894000000000002,782500.0,1,10,2001
6006,2003,1838.0,26.0,1.0,48.0,1.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,250.0,5000.0,118800.0,935000.0,23.163,1043000.0,1,10,2003
6006,2005,1202.0,26.0,0.0,50.0,1.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,50.0,6700.0,199186.0,1281000.0,22.944000000000003,1321000.0,1,10,2005
6006,2007,997.0,26.0,0.0,52.0,1.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,8000.0,168000.0,296500.0,22.279,371500.0,1,10,2007
6006,2009,539.0,26.0,0.0,54.0,1.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,200.0,15450.0,135500.0,1000000.0,22.28,1085000.0,1,10,2009
6006,2011,3622.0,26.0,0.0,56.0,1.0,0.0,6.0,1.0,2.0,1.0,8.0,1.0,1.0,250.0,13250.0,124600.0,902000.0,24.142,1054000.0,1,10,2011
6006,2013,1195.0,24.0,0.0,58.0,1.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,7100.0,210375.0,1225000.0,24.143,1290000.0,1,10,2013
6006,2015,3220.0,24.0,0.0,60.0,1.0,0.0,6.0,1.0,2.0,1.0,8.0,1.0,1.0,500.0,15500.0,261331.0,4435000.0,27.555999999999997,4660000.0,1,10,2015
6006,2017,4043.0,24.0,0.0,62.0,1.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,33000.0,250800.0,2567000.0,27.555999999999997,2767000.0,1,10,2017
6006,2019,6444.0,24.0,0.0,64.0,1.0,0.0,6.0,1.0,2.0,1.0,9.0,1.0,5.0,0.0,32000.0,243000.0,2550000.0,30.826999999999998,2700000.0,1,10,2019
6006,2021,5474.0,24.0,0.0,66.0,1.0,0.0,6.0,1.0,1.0,1.0,9.0,5.0,0.0,0.0,35000.0,270600.0,3125000.0,30.828000000000003,3495000.0,1,10,2021
6170,2001,263.0,12.0,1.0,56.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,90200.0,19400.0,26.424,48400.0,1,10,2001
6170,2003,1890.0,12.0,1.0,58.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,49506.0,34000.0,27.69,68000.0,1,10,2003
6170,2005,3444.0,12.0,0.0,60.0,1.0,0.0,6.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,46400.0,12500.0,27.69,43500.0,1,10,2005
6170,2007,4264.0,12.0,0.0,62.0,1.0,0.0,6.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,180.0,44405.0,10000.0,26.84,50000.0,1,10,2007
6170,2009,4485.0,12.0,1.0,64.0,1.0,0.0,6.0,1.0,4.0,1.0,0.0,1.0,1.0,150.0,150.0,61602.0,-8000.0,17.894000000000002,35000.0,1,10,2009
6170,2011,4773.0,12.0,1.0,66.0,1.0,0.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,100.0,125.0,67572.0,-12500.0,19.366,48000.0,1,10,2011
6170,2013,2662.0,12.0,0.0,68.0,1.0,0.0,6.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,66676.0,2000.0,29.049,29500.0,1,10,2013
6170,2015,3130.0,12.0,0.0,70.0,1.0,0.0,6.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,49994.0,2000.0,33.61,55000.0,1,10,2015
6170,2017,4056.0,12.0,0.0,72.0,1.0,0.0,6.0,1.0,5.0,1.0,0.0,1.0,1.0,100.0,100.0,60012.0,59600.0,33.61,178600.0,1,10,2017
6170,2019,4882.0,12.0,0.0,74.0,1.0,0.0,6.0,1.0,4.0,1.0,10.0,5.0,0.0,0.0,0.0,29100.0,40000.0,35.736999999999995,155000.0,1,10,2019
6170,2021,4092.0,12.0,0.0,76.0,1.0,0.0,6.0,1.0,5.0,1.0,10.0,5.0,0.0,0.0,0.0,34430.0,29000.0,35.736999999999995,149000.0,1,10,2021
7004,2001,3198.0,34.0,0.0,45.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,26338.0,500.0,60.096000000000004,7500.0,1,10,2001
7004,2003,4853.0,34.0,1.0,48.0,2.0,0.0,7.0,4.0,4.0,1.0,8.0,5.0,0.0,0.0,0.0,12900.0,300.0,61.089,300.0,1,10,2003
7004,2005,825.0,34.0,0.0,49.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,13000.0,1500.0,61.089,1500.0,1,10,2005
7004,2007,534.0,34.0,0.0,51.0,2.0,0.0,7.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,13000.0,1500.0,63.001000000000005,1500.0,1,10,2007
7004,2009,470.0,34.0,0.0,53.0,2.0,0.0,7.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,30000.0,500.0,63.001000000000005,500.0,1,10,2009
7004,2011,499.0,34.0,0.0,55.0,2.0,0.0,7.0,4.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,30000.0,500.0,67.752,500.0,1,10,2011
7004,2013,2820.0,34.0,1.0,57.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,30000.0,1500.0,51.288000000000004,1500.0,1,10,2013
7004,2015,2000.0,34.0,1.0,59.0,2.0,0.0,7.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,30000.0,700.0,66.907,700.0,1,10,2015
7004,2017,4360.0,34.0,1.0,61.0,2.0,0.0,7.0,4.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,12000.0,0.0,58.77,0.0,1,10,2017
7004,2019,4037.0,34.0,1.0,63.0,2.0,0.0,7.0,4.0,3.0,1.0,20.0,5.0,0.0,0.0,0.0,23928.0,0.0,83.24799999999999,0.0,1,10,2019
7004,2021,4057.0,34.0,0.0,66.0,2.0,0.0,7.0,4.0,3.0,1.0,20.0,5.0,0.0,0.0,0.0,9360.0,0.0,83.24799999999999,0.0,1,10,2021
7035,2001,3327.0,34.0,0.0,24.0,1.0,0.0,7.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,19716.0,0.0,14.282,0.0,1,10,2001
7035,2003,6217.0,34.0,0.0,27.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,23470.0,-19300.0,15.157,-19300.0,1,10,2003
7035,2005,154.0,34.0,0.0,28.0,1.0,0.0,7.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,26500.0,0.0,15.157,0.0,1,10,2005
7035,2007,211.0,34.0,0.0,30.0,1.0,0.0,7.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,38660.0,2700.0,15.753,2700.0,1,10,2007
